text,label,dominant_cluster,entropy
"In (Hein Roehrig) writes: No, it does not. -- ""Insisting on perfect safety is for people who don't have the balls to live in the real world."" -- Mary Shafer, NASA Ames Dryden ------------------------------------------------------------------------------ - I don't speak for others and they don't speak for me.",comp.os.ms-windows.misc,0,1.347394
"To all netters, In my last post that concerning about the CYRIX 486DLC CPU, I said the benchmark program COMPTEST stated there is a bug in CYRIX CPUs. This is NOT true and I must apologize to the author of COMPTEST. The actual program that gives this report is F-PROT 2.07, a virus detection and removal program. The report stated there is a bug in the Cx486SLC but not DLC. Sorry, sorry, sorry... Desmond Li LUT, UK.",comp.sys.ibm.pc.hardware,4,0.96380365
"In-reply-to: message of 15 Apr 93 20:51:02 GMT I'd recommend that you hop on the back of it and cruise - that's a really nice ride, if you choose your route with any care at all. Shouldn't cost more than about $30 in gas, and maybe a night's motel bill... _MelloN_ -- uunet!lupine!mellon Member of the League for Programming Freedom. To find out how software patents may cost you your right to program, contact",rec.motorcycles,7,1.0723444
"Approved: In article (Wilson Heydt) writes: |> As for the dating of the oldest extant texts of the NT.... How would |> you feel about the US Civil War in a couple of thousand years if the |> only extant text was written about *now*? Now adjust for a largely |> illiterate population, and one in which every copy of a manuscript is |> done by hand.... Considerably better than I feel about, say, the Punic Wars, or the Peloponnesian War (spelling optional), or almost any other event in classical history. How close to the events do you think the oldest extent manuscripts are in those cases? -- Steve Schaffner The opinions expressed may be mine, and may not be those of SLAC, Stanford University, or the DOE.",soc.religion.christian,7,0.94563395
"Nntp-Posting-Host: teal.csn.org Expires: Wed, 28 Apr 1993 06:00:00 GMT In article (Tom Van Flandern) writes: ""I hold that space cannot be curved, for the simple reason that it can have no properties."" ""Of properties we can only speak when dealing with matter filling the space. To say that in the presence of large bodies space becomes curved, is equivalent to stating that something can act upon nothing. I, for one, refuse to subscribe to such a view."" - Nikola Tesla ---- ET ""Tesla was 100 years ahead of his time. Perhaps now his time comes."" ----",sci.space,10,0.88648665
"Thanks to all who replied to my initial question. I've been away in New Jersey all week and was surprised to see all the responses when I got back. To the person asking about nicotine patches, there are four on the market: Habitrol - Ciba Pharmaceuticals Nicoderm - Marion Merill Dow (Alza made) Nicotrol - Warner Lambert (Cygnus made) ProStep - Made by Elan and marketed by ??",sci.med,10,1.2981256
"I have a Centris 610 & want to get an IBM machine as well. To save space on my desk, I would like to use one monitor for both, with a switch-box. Does anyone know of a way to do this?",comp.sys.mac.hardware,8,0.90508336
"Since I have seen various different numbers to dial to get your number read back to you by the phone company, could someonepost a list or point me to a book where I could get a list of all the different numbers for the U.S.? Failing that, could someone tell me Ohio's? -- ??????????????????????????????????????????????????????????????????????????????? ? 451 ? I don't speak for Wright ? ? ? State, I just give them ? ? Wright State University ? huge amounts of money. ? ???????????????????????????????????????????????????????????????????????????????",sci.electronics,7,0.8499571
"News-Software: VAX/VMS VNEWS 1.41 In article (Chris Holt) writes... :So we try to ensure that the process of deciding whether to introduce :third parties isn't random. As Steve said above, there are examples :where third parties *are* less ignorant or corrupt than the two :primary parties; should this knowledge not be able to help? Of course it helps, but only if the decision to involve third parties is the primary partis' to make. A corrupt and ignorant third party isn't going to say, ""we're corrupt and ignorant, we'll stay out of this"". Pointing out that they are corrupt and ignorant won't help, they either won't believe you or won't care. :> It's impossible (or at least beyond my abilities) to formulate a rule :>that will always tell whether the involvement of a third party would be :>good or bad, but there's one that seems better than any other I've ever :>heard suggested: voluntary good, mandatory bad. That is, a third :>party should involve itself in a transaction ONLY at the request of :>the primary participants. :So we *don't* formulate a rule that will always tell; we try to use :knowledge about other properties of situations. To some of us, it :appears that trying always to apply ""voluntary good, mandatory bad"" :is not only less than optimal, it is in some circumstances seriously :damaging. The interesting question is to characterize those :circumstances as best we can. Look, somebody has to have the power to decide whether a third party will regulate your transactions or not. That somebody is going to be either you or the third party. You can argue until you are blue in the face that regulators shouldn't get involved (in fact, people have tried this), they won't listen. The fundamental question you have to ask is, whose decision is it whether or not to involve regulators, ours or theirs? After you've answered thed first question, you can try to move on to such questions as ""should regulators be involved"" and, if so, ""what regulations are appropriate?"" Although with your answer to the first question, the second and third are taken out of your hands. Mr. Grinch",talk.politics.misc,7,1.4251682
Nntp-Posting-Host: vaxa.isc.rit.edu im interseted in buing some of those....I am a student at R.I.T. please reply saying how to contact you.....Ed,misc.forsale,12,0.7323492
